# ZZZ upstream rejection ledger (class C).
#
# One row per upstream commit ZZZ classified C and did not absorb.
# This is the dedup index for re-review: a SHA listed here was
# already rejected and must not be re-triaged unless a later
# report supersedes it.
#
# Columns (tab-separated): sha, class, reason_code, note, source
# reason_code is one of: philosophy, absent-api, unisolatable, upstream-infra, release-metadata, diverged, untriaged.
# untriaged marks a backfilled row whose bucket still needs review.
# Regenerate: ./script/backfill-upstream-ledger
# Validate:   ./script/check-upstream-ledger
sha	class	reason_code	note	source
00382632	C	absent-api	Manage-skills command filtering targets an action surface absent from ZZZ's ACP-only agent UI.	upstream-sync-2026-09-02.md
00c0e96e	C	diverged	`LoadedFile` Rope rewrite conflicts on local worktree decode.	upstream-sync-2026-08-27.md
00cba838	C	untriaged	Large Mermaid/GPUI dependency and excluded agent-panel integration.	upstream-sync-2026-08-07.md
0307288d	C	upstream-infra	Unused benchmark/threaded-dispatcher API.	upstream-sync-2026-08-18.md
037f32aef0	C	untriaged	Rejected in this sync; see the report for the section-level rationale.	upstream-sync-2026-07-03.md
03c9c4e7	C	absent-api	`ParsedSvg` / `render_parsed` APIs are absent.	upstream-sync-2026-08-27.md
05473ed8	C	diverged	`csv_preview` rename; local crate already diverged.	upstream-sync-2026-08-27.md
05c2c9ab	C	diverged	ACP terminal-streaming scaffolding; `write_output` diverged and the raw primitive has no production caller.	upstream-sync-2026-09-24.md
069449ab	C	upstream-infra	mdBook smart-punctuation docs infra.	upstream-sync-2026-08-18.md
06e889c4	C	untriaged	Native-agent subagent compaction; follows unabsorbed ACP compaction.	upstream-sync-2026-09-18.md
07a0bd12	C	untriaged	Unused frame-time debug overlay.	upstream-sync-2026-08-18.md
0812d210	C	untriaged	GPT-5.6 Sol default mixed with subscribed provider.	upstream-sync-2026-08-18.md
0855410c	C	untriaged	Long-press gesture recognition is coupled to the unabsorbed touch/IME gesture architecture.	upstream-sync-2026-09-02.md
098e4407	C	untriaged	OpenAI subscribed ungated catalog.	upstream-sync-2026-08-18.md
0a7c84bc37	C	untriaged	Rejected in this sync; see the report for the section-level rationale.	upstream-sync-2026-07-03.md
0ad5441b	C	diverged	Display-position selections; editor conflict.	upstream-sync-2026-08-18.md
0b61ce2039	C	untriaged	Rejected in this sync; see the report for the section-level rationale.	upstream-sync-2026-07-03.md
0d08af1e	C	diverged	Share GPUI/scheduler impls; conflicts in app.rs, view.rs, div.rs, executor.rs.	upstream-sync-2026-09-18.md
0dea8c63	C	unisolatable	Point-diagnostic squiggles rewrite GPUI underline APIs and `element/header.rs`.	upstream-sync-2026-09-18.md
0e7972f3	C	untriaged	GitHub Actions merge-queue dependency check.	upstream-sync-2026-09-18.md
0eda7703	C	absent-api	Accesskit adapter to drop is absent from ZZZ's `gpui_macos`.	upstream-sync-2026-09-24.md
0f84a49e	C	philosophy	Native cloud websocket belongs to rejected account/collaboration paths.	upstream-sync-2026-08-27.md
0fb9a9da	C	philosophy	Copilot settings path.	upstream-sync-2026-08-07.md
10676bad	C	philosophy	Collab peer search sharing of `private_files`.	upstream-sync-2026-09-18.md
